real_x,real_y,im_x,im_y
21.8,-712.5,482,340.6
63,-667,438.6,388.5
-117.6,-673.6,635.6,382.2
-270.9,-674.7,801.8,381.3
-448.2,-672,995.1,384.9
106.4,-616.7,393.5,443.6
-21.6,-572.7,530.8,491.5
-203.7,-572.3,729.55,493.3
-277.5,-569.3,809,496
-367.6,-575.7,905.7,492.4
52.3,-473.5,454,601.7
-118.8,-475.9,638.4,598.1
-199.6,-480.6,725,594.5
-280.6,-485.7,811.7,588.2
-446.1,-480.2,992.4,593.6
-26.1,-400.5,538.9,680.3
-114,-399.7,633.8,680.3
-208.1,-401.3,736,679
-367.3,-392,907,687
54.4,-322.2,454,762
-120.3,-322.2,641,763
-274.7,-311,807,775
-447.1,-312,992,775